;416;416;1165;1165;1167;1167;1168;1168;1213;1213
9N97MP74CB;-----;-----;-----;-----;-----;-----;-----;-----;-----;-----
$Q_S199_03;98;"28.02.2019 12:39";76;"19.02.2019 19:36";100;"19.02.2019 15:38";77;"25.02.2019 10:31";99;"12.03.2019 15:00"
$Q_S199_04;94;"28.02.2019 12:39";76;"19.02.2019 19:36";44;"19.02.2019 15:38";78;"25.02.2019 10:31";99;"12.03.2019 15:00"
$Q_S199_05;93;"28.02.2019 12:39";75;"19.02.2019 19:36";93;"19.02.2019 15:38";63;"25.02.2019 10:31";78;"12.03.2019 15:00"
$Q_S199_06;96;"28.02.2019 12:39";96;"19.02.2019 19:36";82;"19.02.2019 15:38";87;"25.02.2019 10:31";99;"12.03.2019 15:00"
$Q_S033_01r;6;"28.02.2019 12:39";6;"19.02.2019 19:36";7;"19.02.2019 15:38";6;"25.02.2019 10:31";6;"12.03.2019 15:00"
$Q_S033_02r;6;"28.02.2019 12:39";6;"19.02.2019 19:36";7;"19.02.2019 15:38";6;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S033_03r;6;"28.02.2019 12:39";3;"19.02.2019 19:36";2;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S033_09r;6;"28.02.2019 12:39";6;"19.02.2019 19:36";7;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S033_10r;4;"28.02.2019 12:39";3;"19.02.2019 19:36";3;"19.02.2019 15:38";2;"25.02.2019 10:31";4;"12.03.2019 15:00"
$Q_S033_PA;5.5;"28.02.2019 12:39";5.75;"19.02.2019 19:36";6.5;"19.02.2019 15:38";5.25;"25.02.2019 10:31";4.5;"12.03.2019 15:00"
$Q_S033_PA_BZ;0.9689922480620154;"28.02.2019 12:39";1.1627906976744187;"19.02.2019 19:36";1.744186046511628;"19.02.2019 15:38";0.7751937984496123;"25.02.2019 10:31";0.19379844961240308;"12.03.2019 15:00"
$Q_S033_PA_BV;3;"28.02.2019 12:39";3;"19.02.2019 19:36";3;"19.02.2019 15:38";3;"25.02.2019 10:31";2;"12.03.2019 15:00"
$Q_S033_NA;4.25;"28.02.2019 12:39";2.5;"19.02.2019 19:36";2;"19.02.2019 15:38";3;"25.02.2019 10:31";4;"12.03.2019 15:00"
$Q_S033_NA_BZ;0.4918032786885247;"28.02.2019 12:39";-0.9426229508196721;"19.02.2019 19:36";-1.3524590163934427;"19.02.2019 15:38";-0.5327868852459016;"25.02.2019 10:31";0.28688524590163944;"12.03.2019 15:00"
$Q_S033_NA_BV;1;"28.02.2019 12:39";3;"19.02.2019 19:36";3;"19.02.2019 15:38";3;"25.02.2019 10:31";1;"12.03.2019 15:00"
$Q_S009;4.666666666666667;"28.02.2019 12:39";4.666666666666667;"19.02.2019 19:36";4.666666666666667;"19.02.2019 15:38";4;"25.02.2019 10:31";4.833333333333333;"12.03.2019 15:00"
$Q_S009_BZ;1.3960784313725494;"28.02.2019 12:39";1.3960784313725494;"19.02.2019 19:36";1.3960784313725494;"19.02.2019 15:38";0.611764705882353;"25.02.2019 10:31";1.5921568627450977;"12.03.2019 15:00"
$Q_S009_BV;3;"28.02.2019 12:39";3;"19.02.2019 19:36";3;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S010;4.8;"28.02.2019 12:39";4.6;"19.02.2019 19:36";4.2;"19.02.2019 15:38";4.4;"25.02.2019 10:31";4.6;"12.03.2019 15:00"
$Q_S010_BZ;0.884057971014492;"28.02.2019 12:39";0.5942028985507236;"19.02.2019 19:36";0.014492753623188097;"19.02.2019 15:38";0.3043478260869565;"25.02.2019 10:31";0.5942028985507236;"12.03.2019 15:00"
$Q_S010_BV;3;"28.02.2019 12:39";3;"19.02.2019 19:36";2;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S011;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";3.6666666666666665;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S011_BZ;1.7789473684210526;"28.02.2019 12:39";1.7789473684210526;"19.02.2019 19:36";1.7789473684210526;"19.02.2019 15:38";0.37543859649122785;"25.02.2019 10:31";1.7789473684210526;"12.03.2019 15:00"
$Q_S011_BV;3;"28.02.2019 12:39";3;"19.02.2019 19:36";3;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S012_03r;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4;"25.02.2019 10:31";4;"12.03.2019 15:00"
$Q_S012;5;"28.02.2019 12:39";4.333333333333333;"19.02.2019 19:36";5;"19.02.2019 15:38";4.666666666666667;"25.02.2019 10:31";4.333333333333333;"12.03.2019 15:00"
$Q_S012_BZ;1.7555555555555555;"28.02.2019 12:39";1.0148148148148146;"19.02.2019 19:36";1.7555555555555555;"19.02.2019 15:38";1.3851851851851855;"25.02.2019 10:31";1.0148148148148146;"12.03.2019 15:00"
$Q_S012_BV;3;"28.02.2019 12:39";3;"19.02.2019 19:36";3;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S013;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4.5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S013_BZ;1.7283950617283947;"28.02.2019 12:39";1.7283950617283947;"19.02.2019 19:36";1.7283950617283947;"19.02.2019 15:38";1.111111111111111;"25.02.2019 10:31";1.7283950617283947;"12.03.2019 15:00"
$Q_S013_BV;3;"28.02.2019 12:39";3;"19.02.2019 19:36";3;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S014;4.8;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S014_BZ;1.530612244897959;"28.02.2019 12:39";1.7346938775510206;"19.02.2019 19:36";1.7346938775510206;"19.02.2019 15:38";1.7346938775510206;"25.02.2019 10:31";1.7346938775510206;"12.03.2019 15:00"
$Q_S014_BV;3;"28.02.2019 12:39";3;"19.02.2019 19:36";3;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S015;5;"28.02.2019 12:39";4.666666666666667;"19.02.2019 19:36";4.333333333333333;"19.02.2019 15:38";3.6666666666666665;"25.02.2019 10:31";3.6666666666666665;"12.03.2019 15:00"
$Q_S015_BZ;2.050632911392405;"28.02.2019 12:39";1.6286919831223634;"19.02.2019 19:36";1.2067510548523204;"19.02.2019 15:38";0.36286919831223624;"25.02.2019 10:31";0.36286919831223624;"12.03.2019 15:00"
$Q_S015_BV;3;"28.02.2019 12:39";3;"19.02.2019 19:36";3;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S018;3;"28.02.2019 12:39";2.75;"19.02.2019 19:36";2.375;"19.02.2019 15:38";2.875;"25.02.2019 10:31";3.125;"12.03.2019 15:00"
$Q_S018_BZ;0.45333333333333314;"28.02.2019 12:39";0.11999999999999982;"19.02.2019 19:36";-0.38000000000000017;"19.02.2019 15:38";0.28666666666666646;"25.02.2019 10:31";0.6199999999999998;"12.03.2019 15:00"
$Q_S018_BV;1;"28.02.2019 12:39";2;"19.02.2019 19:36";3;"19.02.2019 15:38";1;"25.02.2019 10:31";1;"12.03.2019 15:00"
$Q_S019;1.6666666666666667;"28.02.2019 12:39";2.3333333333333335;"19.02.2019 19:36";2.3333333333333335;"19.02.2019 15:38";1.3333333333333333;"25.02.2019 10:31";2;"12.03.2019 15:00"
$Q_S019_BZ;-0.7098039215686274;"28.02.2019 12:39";0.07450980392156878;"19.02.2019 19:36";0.07450980392156878;"19.02.2019 15:38";-1.1019607843137256;"25.02.2019 10:31";-0.31764705882352945;"12.03.2019 15:00"
$Q_S019_BV;3;"28.02.2019 12:39";2;"19.02.2019 19:36";2;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S020;1.5;"28.02.2019 12:39";1.25;"19.02.2019 19:36";1;"19.02.2019 15:38";1.75;"25.02.2019 10:31";1;"12.03.2019 15:00"
$Q_S020_BZ;-0.6741573033707866;"28.02.2019 12:39";-0.955056179775281;"19.02.2019 19:36";-1.2359550561797754;"19.02.2019 15:38";-0.3932584269662922;"25.02.2019 10:31";-1.2359550561797754;"12.03.2019 15:00"
$Q_S020_BV;3;"28.02.2019 12:39";3;"19.02.2019 19:36";3;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_F001;4.895238095238095;"28.02.2019 12:39";4.752380952380952;"19.02.2019 19:36";4.742857142857143;"19.02.2019 15:38";4.271428571428571;"25.02.2019 10:31";4.633333333333333;"12.03.2019 15:00"
$Q_F001_BZ;2.218125960061443;"28.02.2019 12:39";1.987711213517665;"19.02.2019 19:36";1.9723502304147467;"19.02.2019 15:38";1.2119815668202762;"25.02.2019 10:31";1.795698924731182;"12.03.2019 15:00"
$Q_F001_BV;3;"28.02.2019 12:39";3;"19.02.2019 19:36";3;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_F002;2.055555555555556;"28.02.2019 12:39";2.111111111111111;"19.02.2019 19:36";1.902777777777778;"19.02.2019 15:38";1.986111111111111;"25.02.2019 10:31";2.0416666666666665;"12.03.2019 15:00"
